2025-02-18 11:20:39,178 - INFO - Combinaciones leídas: 31
2025-02-18 11:25:09,920 - INFO - Precios obtenidos: VINA DEL MAR -> LA SERENA: [{'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'LA SERENA', 'tamaño': 'XS', 'precio': '$7.592'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'LA SERENA', 'tamaño': 'S', 'precio': '$7.971'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'LA SERENA', 'tamaño': 'M', 'precio': '$11.338'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'LA SERENA', 'tamaño': 'XL', 'precio': '$15.000'}]
2025-02-18 11:25:22,603 - INFO - Precios obtenidos: CONCEPCION -> PUERTO MONTT: [{'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'PUERTO MONTT', 'tamaño': 'XS', 'precio': '$7.819'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'PUERTO MONTT', 'tamaño': 'S', 'precio': '$8.509'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'PUERTO MONTT', 'tamaño': 'M', 'precio': '$12.162'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'PUERTO MONTT', 'tamaño': 'XL', 'precio': '$16.758'}]
2025-02-18 11:25:34,629 - INFO - Precios obtenidos: VALDIVIA -> VALDIVIA: [{'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'VALDIVIA', 'tamaño': 'XS', 'precio': '$6.089'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'VALDIVIA', 'tamaño': 'S', 'precio': '$6.319'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'VALDIVIA', 'tamaño': 'M', 'precio': '$7.000'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'VALDIVIA', 'tamaño': 'XL', 'precio': '$8.111'}]
2025-02-18 11:25:46,536 - INFO - Precios obtenidos: SANTIAGO CENTRO -> ANTOFAGASTA: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ANTOFAGASTA', 'tamaño': 'XS', 'precio': '$9.648'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ANTOFAGASTA', 'tamaño': 'S', 'precio': '$16.414'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ANTOFAGASTA', 'tamaño': 'M', 'precio': '$20.518'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ANTOFAGASTA', 'tamaño': 'XL', 'precio': '$30.265'}]
2025-02-18 11:25:58,338 - INFO - Precios obtenidos: COPIAPO -> SANTIAGO CENTRO: [{'rut': '99.999.999-9', 'origen': 'COPIAPO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XS', 'precio': '$7.013'}, {'rut': '99.999.999-9', 'origen': 'COPIAPO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'S', 'precio': '$9.569'}, {'rut': '99.999.999-9', 'origen': 'COPIAPO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'M', 'precio': '$12.871'}, {'rut': '99.999.999-9', 'origen': 'COPIAPO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XL', 'precio': '$15.378'}]
2025-02-18 11:26:10,589 - INFO - Precios obtenidos: CONCEPCION -> RANCAGUA: [{'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'RANCAGUA', 'tamaño': 'XS', 'precio': '$6.892'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'RANCAGUA', 'tamaño': 'S', 'precio': '$7.920'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'RANCAGUA', 'tamaño': 'M', 'precio': '$10.159'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'RANCAGUA', 'tamaño': 'XL', 'precio': '$13.929'}]
2025-02-18 11:26:22,386 - INFO - Precios obtenidos: SANTIAGO CENTRO -> PUNTA ARENAS: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'PUNTA ARENAS', 'tamaño': 'XS', 'precio': '$13.685'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'PUNTA ARENAS', 'tamaño': 'S', 'precio': '$20.085'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'PUNTA ARENAS', 'tamaño': 'M', 'precio': '$45.771'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'PUNTA ARENAS', 'tamaño': 'XL', 'precio': '$87.478'}]
2025-02-18 11:26:34,263 - INFO - Precios obtenidos: SANTIAGO CENTRO -> ARICA: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ARICA', 'tamaño': 'XS', 'precio': '$10.417'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ARICA', 'tamaño': 'S', 'precio': '$16.644'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ARICA', 'tamaño': 'M', 'precio': '$20.962'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'ARICA', 'tamaño': 'XL', 'precio': '$31.358'}]
2025-02-18 11:26:46,162 - INFO - Precios obtenidos: SANTIAGO CENTRO -> COYHAIQUE: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COYHAIQUE', 'tamaño': 'XS', 'precio': '$12.556'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COYHAIQUE', 'tamaño': 'S', 'precio': '$18.600'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COYHAIQUE', 'tamaño': 'M', 'precio': '$40.207'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COYHAIQUE', 'tamaño': 'XL', 'precio': '$76.513'}]
2025-02-18 11:26:58,126 - INFO - Precios obtenidos: SANTIAGO CENTRO -> IQUIQUE: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'IQUIQUE', 'tamaño': 'XS', 'precio': '$11.432'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'IQUIQUE', 'tamaño': 'S', 'precio': '$16.644'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'IQUIQUE', 'tamaño': 'M', 'precio': '$20.962'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'IQUIQUE', 'tamaño': 'XL', 'precio': '$31.358'}]
